Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Kesakitan,Stunting (%),IKP,IKP Ranking,
pidie - indra jaya,6,0.22,21.05,32.24,0.00,35.35,9.33,38.50,14.70,17.75,79.00,61,
pidie - kembang tanjong,6,0.29,17.66,72.16,0.40,39.11,8.44,32.44,14.52,17.49,78.79,64,
pidie - kota sigli,3,5.00,13.13,14.56,0.00,46.04,9.71,23.43,12.22,4.30,52.53,253,
pidie - mila,5,0.20,16.94,61.06,0.00,38.48,7.33,100.00,8.26,21.26,77.78,84,
pidie - muara tiga,6,0.57,15.82,50.57,0.64,9.33,7.86,100.00,11.05,19.15,79.52,52,
pidie - mutiara,5,0.33,14.25,46.88,0.04,39.31,10.53,36.41,20.13,16.89,77.97,78,
pidie - padang tiji,5,0.30,25.68,19.62,0.35,53.27,8.16,100.00,12.93,10.81,72.17,183,
pidie - peukan baro,6,0.37,11.65,48.92,0.26,52.09,8.72,24.70,13.95,9.57,78.67,65,
pidie - pidie,6,1.01,15.39,45.95,0.24,12.38,8.88,29.31,18.48,14.01,78.59,67,
pidie - sakti,6,0.18,9.88,68.85,0.05,41.87,6.72,54.25,15.50,9.63,79.79,47,
pidie - simpang tiga,5,0.55,22.18,55.10,0.05,33.66,8.13,43.61,14.85,5.46,77.20,95,
pidie - tangse,6,0.36,6.17,81.94,0.07,3.29,7.23,100.00,19.79,15.67,81.83,22,
pidie - tiro/truseb,5,0.11,21.14,61.14,0.04,39.37,9.05,100.00,23.59,33.74,72.53,173,
pidie - keumala,5,0.12,15.84,69.16,0.00,34.21,9.01,100.00,21.50,24.76,75.53,124,
pidie - mutiara timur,6,0.28,15.57,58.21,0.15,14.10,8.76,44.00,14.71,12.33,83.02,15,
pidie - grong-grong,5,0.45,29.23,59.28,0.66,23.07,9.38,33.78,14.15,25.79,77.34,91,
pidie - mane,5,0.16,18.98,66.34,0.40,32.24,7.06,100.00,14.26,9.19,77.33,92,
pidie - glumpang baro,6,0.19,15.04,50.04,0.37,49.11,9.21,28.19,14.78,18.42,78.59,66,
pidie - titeue,5,0.17,11.45,52.13,0.00,37.96,8.72,91.40,13.14,31.75,78.00,76,
aceh utara - baktiya,5,0.14,17.66,68.07,0.51,67.02,9.18,73.46,8.58,15.24,75.02,130,
aceh utara - dewantara,5,1.89,4.01,36.02,0.00,19.55,9.16,42.79,16.68,11.33,74.81,135,
aceh utara - kuta makmur,6,0.31,15.43,62.28,0.31,21.84,8.15,86.97,14.65,21.34,78.93,62,
aceh utara - lhoksukon,5,0.17,16.65,40.37,0.50,31.56,8.99,84.08,26.38,18.36,75.06,128,
aceh utara - matangkuli,5,0.32,12.38,57.82,0.19,2.21,9.40,33.89,40.58,22.05,78.33,70,
aceh utara - muara batu,6,0.42,10.37,34.03,0.13,31.55,9.47,19.50,8.97,3.80,84.02,12,
aceh utara - meurah mulia,6,0.21,13.87,24.76,0.37,0.71,10.56,100.00,11.94,20.11,83.64,14,
aceh utara - samudera,5,0.49,12.66,61.03,1.33,17.74,8.80,24.04,27.86,17.57,78.46,68,
aceh utara - seunuddon,6,0.31,18.58,81.29,2.09,18.39,7.44,32.05,13.93,7.90,81.50,26,
aceh utara - syamtalira aron,5,0.33,7.34,33.35,0.00,65.54,8.72,16.45,18.76,31.54,75.85,120,
aceh utara - syamtalira bayu,5,0.29,12.34,14.31,0.43,51.04,7.89,40.17,17.07,2.43,77.78,83,
aceh utara - tanah luas,6,0.19,11.81,31.37,2.47,31.26,9.59,11.43,11.04,6.05,83.78,13,
aceh utara - tanah pasir,5,0.60,13.74,35.66,0.11,61.79,7.63,16.98,24.95,7.28,72.79,168,
aceh utara - tanah jambo aye,6,0.27,13.81,59.06,0.76,36.70,9.36,48.51,14.49,14.84,79.45,54,
aceh utara - sawang,5,0.31,16.88,59.02,3.00,31.96,9.23,100.00,15.91,22.40,74.82,133,
aceh utara - nisam,6,0.21,17.05,66.45,0.00,22.52,8.47,68.30,6.54,26.61,82.12,19,
aceh utara - cot girek,5,0.91,9.33,46.67,4.95,34.24,9.13,100.00,7.92,12.92,74.35,144,
aceh utara - langkahan,5,0.27,19.67,38.06,1.21,15.69,8.68,82.25,24.90,8.92,76.94,100,
aceh utara - baktiya barat,5,0.16,17.61,37.30,4.47,35.94,9.96,59.77,18.31,11.99,76.27,115,
aceh utara - paya bakong,5,0.20,25.75,72.20,5.51,13.38,7.55,100.00,16.47,23.86,74.88,131,
aceh utara - nibong,6,0.28,16.07,59.21,0.29,39.59,9.26,37.12,8.75,20.50,80.46,41,
aceh utara - simpang kramat,5,0.30,16.40,42.49,4.65,59.15,8.42,69.98,8.70,27.67,73.09,163,
aceh utara - lapang,6,0.50,8.30,44.64,0.00,35.68,9.05,20.95,17.51,39.39,79.01,60,
aceh utara - pirak timur,5,0.18,21.76,58.22,4.86,36.48,7.84,8.57,26.00,39.75,73.71,156,
aceh utara - geuredong pase,5,0.37,13.53,54.32,1.03,37.91,9.29,100.00,16.92,24.81,74.80,137,
aceh utara - banda baro,5,1.16,16.48,57.41,4.07,53.61,8.97,35.29,15.16,11.06,69.96,200,
aceh utara - nisam antara,3,3.27,22.71,43.33,6.20,16.19,8.39,81.92,23.66,28.34,55.14,248,
simeulue - simeulue tengah,6,0.02,20.14,56.77,2.95,1.83,9.38,100.00,10.12,28.94,81.91,21,
simeulue - salang,5,0.02,24.68,64.21,9.07,32.54,8.12,100.00,10.13,38.10,72.62,171,
simeulue - teupah barat,5,0.02,40.76,28.13,2.84,16.09,8.30,100.00,21.18,33.57,71.76,186,
simeulue - simeulue timur,6,0.02,11.55,31.95,0.26,8.81,9.64,84.60,13.27,21.45,84.33,6,
simeulue - teluk dalam,5,0.02,44.81,42.51,2.39,16.52,7.52,100.00,10.48,26.35,74.20,149,
simeulue - simeulue barat,5,0.02,42.74,29.34,1.86,16.51,8.51,100.00,16.03,39.83,72.80,167,
simeulue - teupah selatan,5,0.02,38.59,24.27,1.56,44.93,7.93,47.32,13.45,33.25,73.02,164,
simeulue - alapan,4,0.02,52.78,50.72,0.25,34.26,8.02,100.00,22.09,34.26,67.04,219,
simeulue - teupah tengah,5,0.02,35.43,13.10,0.97,12.58,8.91,100.00,18.34,21.12,75.88,118,
simeulue - simeulue cut,5,0.02,30.01,72.75,4.77,38.13,8.27,93.16,16.64,17.07,72.19,180,
aceh singkil - pulau banyak,2,5.00,34.70,74.24,1.68,45.19,8.20,68.27,10.62,25.23,43.90,262,
aceh singkil - simpang kanan,4,1.38,28.20,30.26,1.51,42.40,8.03,100.00,18.00,26.73,64.04,231,
aceh singkil - singkil,2,5.00,19.57,33.93,0.04,23.24,9.58,100.00,12.21,3.91,50.80,255,
aceh singkil - gunung meriah,2,5.00,12.56,18.81,0.12,36.57,9.06,71.21,15.60,21.92,49.77,257,
aceh singkil - kota baharu,2,5.00,26.52,34.92,3.17,22.36,6.33,100.00,7.27,14.41,48.42,259,
aceh singkil - singkil utara,2,5.00,24.73,51.64,0.00,11.85,8.94,100.00,41.81,21.95,42.30,263,
aceh singkil - danau paris,4,0.77,29.63,43.75,0.91,35.10,8.25,100.00,16.99,35.02,68.62,210,
aceh singkil - suro makmur,4,0.84,44.30,36.83,5.82,10.91,8.07,100.00,22.25,22.41,65.69,225,
aceh singkil - singkohor,3,5.00,11.87,27.69,0.84,18.95,8.54,100.00,14.16,3.48,52.23,254,
aceh singkil - kuala baru,2,5.00,33.93,82.98,0.00,58.91,7.54,100.00,11.21,5.45,41.89,264,
aceh singkil - pulau banyak barat,2,5.00,50.03,80.69,1.47,15.07,7.23,100.00,9.83,10.37,44.61,261,
bireuen - samalanga,5,0.30,14.57,44.22,0.01,67.08,8.81,100.00,16.91,6.56,71.77,184,
bireuen - jeunieb,5,0.25,25.57,53.95,1.28,49.66,8.17,100.00,17.80,7.02,71.42,190,
bireuen - peudada,4,0.31,23.93,57.03,1.83,41.13,9.08,100.00,34.04,13.57,67.85,214,
bireuen - jeumpa,5,0.31,28.15,38.97,0.11,16.72,9.57,100.00,20.19,14.09,75.37,125,
bireuen - peusangan,5,0.38,19.75,38.37,0.10,50.36,10.35,37.87,19.94,12.21,74.87,132,
bireuen - makmur,4,0.29,31.08,64.40,0.27,69.79,8.58,100.00,14.08,12.17,68.03,213,
bireuen - gandapura,5,0.33,26.13,44.53,0.14,42.28,10.20,45.58,26.24,22.93,72.32,178,
bireuen - pandrah,5,0.26,22.97,59.91,1.32,58.80,8.85,100.00,11.02,31.18,71.17,193,
bireuen - juli,5,0.46,21.10,36.30,1.81,27.99,9.22,100.00,24.65,9.88,72.46,175,
bireuen - jangka,5,0.47,23.18,47.58,0.36,51.81,10.60,41.30,14.40,19.72,74.20,148,
bireuen - simpang mamplam,5,0.30,28.69,61.39,0.37,27.96,8.71,100.00,16.19,6.62,74.81,136,
bireuen - peulimbang,4,0.28,36.09,61.10,1.18,64.86,6.61,100.00,21.31,14.77,65.03,227,
bireuen - kota juang,6,1.25,13.54,15.96,0.02,12.54,11.12,4.07,10.79,9.94,81.48,27,
bireuen - kuala,5,0.37,13.25,34.63,0.00,36.56,9.48,26.32,25.95,12.87,77.46,90,
bireuen - peusangan siblah krueng,4,0.24,41.38,13.63,5.11,56.25,8.19,100.00,13.59,30.86,65.11,226,
bireuen - peusangan selatan,4,0.42,37.50,18.90,2.85,41.18,9.46,100.00,20.42,12.36,67.53,217,
bireuen - kuta blang,5,0.34,20.93,22.24,0.03,37.12,10.61,47.20,17.65,20.21,76.78,104,
aceh barat daya - blang pidie,6,0.40,4.15,15.41,0.41,25.71,9.53,6.58,13.73,20.30,84.79,4,
aceh barat daya - tangan-tangan,5,0.12,20.06,57.34,0.23,57.54,6.99,2.04,16.59,20.30,77.08,96,
aceh barat daya - manggeng,6,0.23,10.49,59.14,0.36,38.95,8.70,0.53,20.66,20.30,80.60,37,
aceh barat daya - susoh,6,0.47,6.80,32.31,0.02,5.06,10.02,0.17,17.86,20.30,86.45,1,
aceh barat daya - kuala batee,5,0.18,8.41,57.41,0.92,56.59,8.67,1.74,22.64,20.30,77.73,86,
aceh barat daya - babah rot,6,0.22,10.33,52.34,4.46,25.53,7.79,7.34,16.11,20.30,81.75,23,
aceh barat daya - setia,5,0.12,12.49,32.21,0.00,55.82,7.51,1.05,21.10,20.30,78.07,73,
aceh barat daya - jeumpa,6,0.14,11.97,71.51,0.10,41.00,8.36,7.49,15.98,20.30,81.47,28,
aceh barat daya - lembah sabil,6,0.29,8.79,50.89,0.06,44.36,8.79,1.77,21.20,20.30,79.69,50,
gayo lues - blangkejeren,6,0.48,1.93,17.21,0.07,22.10,10.09,100.00,17.10,3.13,80.90,33,
gayo lues - kutapanjang,6,0.21,3.43,30.71,0.37,7.66,8.46,100.00,13.58,17.39,84.33,7,
gayo lues - rikit gaib,5,0.41,2.67,54.77,0.51,57.40,8.19,100.00,10.93,26.17,75.63,123,
gayo lues - terangun,4,0.67,10.91,43.85,2.31,56.69,6.72,100.00,18.28,57.30,67.71,216,
gayo lues - pining,4,0.46,15.57,54.79,0.83,88.05,6.51,100.00,21.75,46.26,63.23,234,
gayo lues - blangpegayon,5,0.35,10.60,41.59,0.11,43.15,8.48,100.00,12.16,24.75,76.41,110,
gayo lues - puteri betung,4,1.57,20.14,50.82,0.08,22.21,8.13,100.00,21.53,36.87,66.99,220,
gayo lues - dabun gelang,5,0.26,7.93,66.21,1.59,55.65,8.23,100.00,26.63,24.85,70.86,195,
gayo lues - blangjerango,5,0.28,5.47,29.80,0.04,67.69,6.93,100.00,17.74,30.34,72.18,181,
gayo lues - teripe jaya,5,0.98,6.55,20.62,0.24,37.65,5.81,100.00,15.25,32.43,72.84,165,
gayo lues - pantan cuaca,3,1.42,4.66,78.65,0.38,77.34,5.91,100.00,32.20,32.71,59.54,243,
aceh jaya - teunom,5,0.34,6.58,41.10,0.00,16.97,8.85,100.00,25.59,27.95,77.73,88,
aceh jaya - krueng sabee,5,0.40,3.38,27.50,0.07,40.80,9.41,100.00,17.98,19.10,76.94,99,
aceh jaya - setia bhakti,5,0.30,10.47,19.63,0.51,29.33,8.98,100.00,17.31,34.86,76.88,102,
aceh jaya - sampoiniet,5,0.91,7.86,35.29,0.17,38.55,8.85,100.00,12.20,27.24,74.27,146,
aceh jaya - jaya,5,0.20,13.35,50.34,0.06,35.59,9.21,100.00,13.55,19.18,77.91,80,
aceh jaya - panga,5,0.24,9.63,51.92,0.15,52.42,8.73,100.00,21.28,22.24,73.48,161,
aceh jaya - indra jaya,5,0.33,3.83,49.50,0.00,70.49,9.13,100.00,17.79,25.94,72.22,179,
aceh jaya - darul hikmah,5,0.29,26.67,37.27,0.00,12.65,7.99,100.00,17.83,39.07,75.67,122,
aceh jaya - pasie raya,5,0.18,9.83,63.94,0.00,48.57,7.82,100.00,38.51,19.39,69.73,205,
nagan raya - kuala,3,5.00,8.72,28.34,0.17,24.93,9.49,2.57,11.72,21.17,57.01,245,
nagan raya - seunagan,6,0.20,9.01,28.30,0.21,57.66,10.46,0.73,14.33,24.95,79.91,46,
nagan raya - seunagan timur,6,0.11,7.68,37.92,0.48,21.33,9.64,4.41,15.88,20.88,85.90,2,
nagan raya - beutong,6,0.11,17.66,66.50,1.02,32.85,8.10,20.35,14.21,17.20,81.23,29,
